"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 14/03/2023 13:01:46",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave genérico","Genérico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","021","GAMESA, DULCES, MARIAS, 3 ROLLOS, PAQ DE 432 GR             ","66.43","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","022","MARINELA, DULCES, PRINCIPE, PAQ DE 147 GR                   ","148.98","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","023","GAMESA, DULCES, CHOKIS, CLASICA, CAJA DE 399 GR             ","102.88","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","024","GAMESA, DULCES, ARCOIRIS, PAQ DE 100 GR                     ","140","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","025","NABISCO, DULCES, MARABU DORADA, CAJA DE 696 GR              ","93.39","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","026","QUAKER, DULCES, DE AVENA, FRUTOS ROJOS, CAJA DE 240 GR      ","102.4","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","027","MARINELA, DULCES, RELLENAS, BARRITAS, FRESA, CAJA DE 335 GR ","125","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","028","GAMESA, DULCES, EMPERADOR, DE CHOCOLATE, CAJA DE 382 GR     ","98.17","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","029","MAC´MA, DULCES, BARQUILLOS, CAJA DE 150 GR                  ","210","1","KG    ",""
"2022","01","22/02/2022 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","03 Galletas, pastas y harinas de trigo","004","Galletas","030","LA INTEGRAL, DULCES, BOLSA DE 160 GR                        ","178.13","1","KG    ",""
